first_name,last_name,DOB,state,profit
Gleda,Howerd,1964-01-22,NSW,563.2808194833656
Whittaker,,1966-07-29,VIC,563.2684052813368
Leisha,McConway,1975-10-31,VIC,563.1846094804666
Irving,Babcock,1986-01-17,NSW,563.1347259761295
Quillan,Guinane,1946-03-24,NSW,563.032610185786
Casandra,Betteridge,1942-09-10,VIC,562.9725688115435
Errick,Burgin,1998-08-19,NSW,562.9123772522427
Nixie,Shoesmith,1956-12-04,QLD,562.7460135341641
Hayes,Daveren,1953-03-27,QLD,562.7335355894371
Jobina,Gobourn,1994-12-04,QLD,562.7298945971964
Darb,,1969-06-04,QLD,562.6632255978118
Sid,Carlone,1971-08-18,QLD,562.5788220282708
Roman,Eastwood,1969-09-21,VIC,562.4944000171403
Alfonso,Massel,1940-12-05,VIC,562.4253708338598
Fonsie,Levane,1951-07-10,QLD,562.4208491893366
Dahlia,Shovlar,1966-03-07,VIC,562.4093317727253
Karlik,Penchen,1994-10-31,QLD,562.3721676289776
Kippar,Whyatt,1960-01-21,NSW,562.3269719874414
Nalani,Hallad,1999-11-30,VIC,562.3189534754132
Alon,,1999-06-23,QLD,562.2756401012546
Deirdre,Burgoine,1955-01-08,VIC,562.1896600741494
Gina,Mallon,1994-02-11,QLD,562.1842558975208
Andrea,Pendle,1938-08-05,QLD,562.1772277305622
Vladimir,Westmerland,1956-06-19,NSW,562.0622066083222
Tabbie,Curner,1997-03-13,VIC,561.9991078815804
Renell,Earley,1954-10-21,QLD,561.9664576862531
Glennis,Flintoff,1956-10-22,VIC,561.9146191560965
Moll,Ogilby,1980-12-19,QLD,561.85688472883
Dorie,Dunleavy,1962-05-05,VIC,561.8185921042913
Symon,Mawne,1943-02-08,VIC,561.7997330157209
Kata,Harrop,1950-05-04,NSW,561.656420962103
Raff,Waycott,1951-12-16,VIC,561.585784178224
Abigale,Sives,1963-12-13,QLD,561.5719280183357
Wilbert,O'Loughnan,1983-05-18,QLD,561.4782281249013
Gretel,Paschke,1956-05-29,QLD,561.4287206525034
Augie,Swallwell,1939-08-22,NSW,561.3946180650538
Rebeca,Aggas,1953-02-27,VIC,561.3854801437976
Wallace,Newart,1977-12-06,QLD,561.3711166558302
Bryan,Jachtym,1974-05-15,VIC,561.3348933498546
Leighton,Firbanks,1973-12-22,QLD,561.2598557618005
Brigg,Himsworth,1973-10-10,QLD,561.2390979861938
Glyn,,1945-02-13,NSW,561.2260184848602
Haleigh,,1952-05-19,QLD,561.1240324912643
Rozamond,Sommer,1966-09-19,VIC,561.0547798110752
Rockie,MacKibbon,1978-04-20,NSW,561.0169112368245
Kippy,Barabisch,2000-04-07,NSW,560.9432272022135
Leticia,Hovenden,1997-04-03,VIC,560.8408572371821
Cobbie,Bruyett,1956-03-19,NSW,560.7711798189663
Dodi,Kiggel,1980-08-15,NSW,560.6510691028611
Jordan,Clampe,1939-12-09,QLD,560.6135825465201
Hildegarde,Bamb,1961-02-10,VIC,560.6083024649303
Arel,Abramovitz,1957-11-12,QLD,560.5753395308385
Shepperd,Ricards,1967-09-27,NSW,560.5707708052662
Federico,Leuty,1978-12-11,NSW,560.5628987378486
Cecelia,Cisar,1985-03-26,QLD,560.5184559438369
Selle,Casper,1978-03-27,NSW,560.5094164492507
Lucius,Hatchell,1951-03-19,VIC,560.507949893211
Benedict,Rosas,1955-11-25,NSW,560.5043021657729
Pace,Clemonts,1990-07-28,VIC,560.4614849159427
Pancho,Edis,1970-12-30,VIC,560.4001151704252
Logan,Colomb,1948-01-01,NSW,560.3523992057816
Lorrie,Antonelli,1983-02-11,NSW,560.3185019470377
Maximilian,Geffen,1955-07-13,NSW,560.2954782295766
Nil,Shirer,1997-09-27,VIC,560.290514377
Barnebas,Apfel,1996-02-19,QLD,560.2773506037394
Agna,Cowpe,1969-03-05,QLD,560.2644958995386
Worthington,Ahmed,1972-03-24,VIC,560.2354259574419
Heall,Andrioli,1941-06-17,QLD,560.1909679114758
Griswold,Kelsall,1993-12-19,VIC,560.1176731802348
Flin,Yoskowitz,1995-12-17,NSW,560.0792317287724
Thorvald,Duckerin,1995-10-20,VIC,560.0278330203103
Hussein,Tapenden,1953-10-19,NSW,559.8671381054255
Giselbert,Pickring,1959-07-28,NSW,559.8243249914643
Hamel,Curzey,1990-04-04,QLD,559.7121600802752
Hatti,Carletti,,NSW,559.6582070691098
Oswald,MacCarlich,1991-11-24,QLD,559.6432725887859
Artemis,Swanson,1977-02-12,VIC,559.5742853297669
Jo,Roberts,1945-10-31,NSW,559.5311224494768
Jerrine,Cosbey,1978-01-11,VIC,559.5154114610791
Georgetta,Lovett,1940-02-02,QLD,559.5061172950811
Chickie,Brister,1957-07-12,QLD,559.4888216943356
Ingmar,Okenden,1959-03-01,VIC,559.40715614129
Frieda,Tavinor,1999-03-04,VIC,559.3797565378185
Gilli,Christophers,1948-03-02,QLD,559.3781631102827
Maximilien,Bourget,1969-04-29,VIC,559.2267471179368
Xenia,Maleck,1960-02-14,VIC,559.1437966188728
Piper,Issacov,1939-11-08,NSW,559.141718205227
Latrena,Walklate,1943-10-05,NSW,559.1167302181757
Leeland,,1957-01-24,QLD,558.93270068466
Dickie,Cubbini,1952-12-17,QLD,558.8813608199979
Daryl,Pauncefort,1979-06-18,NSW,558.7634396696125
Antony,Tuma,1954-03-10,VIC,558.7183646621179
Ewell,Paulusch,1998-01-15,QLD,558.6998212091482
Beverlee,Querree,1991-04-21,NSW,558.6981164669455
Dru,Crellim,1963-03-04,VIC,558.5906869766806
Shane,Diss,1980-10-29,VIC,558.5454634415777
Nicole,Ruckhard,1969-10-09,QLD,558.5176496039165
Charlena,Berney,1966-01-02,QLD,558.4813117852906
Iain,Haversham,1950-12-26,NSW,558.4238870197838
Isadora,Ducker,1973-08-25,VIC,558.3825693799718
Jenelle,Mc-Kerley,1942-01-23,QLD,558.343189694665
Olive,Mozzi,1955-07-06,NSW,558.3279991590898
Suzy,Trounson,1947-07-19,QLD,558.2963008700516
Harlin,Mazin,1974-03-25,NSW,558.2896156003951
Aldridge,Poskitt,1982-02-10,QLD,558.2811640061481
Shara,Bramhill,,NSW,558.2726272329091
Poul,Gaskin,1950-06-15,NSW,558.2059827246919
Devonne,Alderwick,1939-01-29,VIC,558.1546099529108
Johna,Bunker,,VIC,558.1376188014286
Annabelle,Hanwell,1951-11-28,VIC,558.1135226883266
Zachariah,Meininking,1938-06-09,NSW,558.089645450808
Wheeler,Winward,1999-08-30,VIC,558.0797999991905
Benedikt,Adamou,1987-01-15,VIC,558.0214839996736
Kevina,Ferandez,1999-09-21,QLD,558.0144012812228
Noel,Sturch,1951-10-28,VIC,558.003732739809
Sofie,Worsfold,1954-10-06,QLD,557.9828613173034
Allsun,Biner,1997-12-26,NSW,557.9424434927154
Levy,Abramamov,1952-09-21,QLD,557.9248996878157
Brien,Heaton,1951-11-28,NSW,557.9121910680766
Leticia,Danovich,1941-10-02,QLD,557.8457212175676
Diane,Furman,1993-08-11,VIC,557.791103844064
Tina,Dunstan,1939-03-06,NSW,557.7580165560306
Elsworth,Abbitt,1956-02-08,VIC,557.7210087066472
Kyle,Michie,1958-07-19,VIC,557.7098719543117
Nev,Prosh,1950-05-08,NSW,557.6832668591625
Nora,Anselm,1961-01-05,QLD,557.6522174389471
Shellysheldon,Bichard,1954-01-06,QLD,557.6388499706151
Laurena,,1961-07-31,VIC,557.6383160172869
Nobe,McAughtry,1978-12-14,QLD,557.6131289803311
Giorgi,O'Shirine,1981-06-20,VIC,557.5846290983432
Cecily,Faircley,1947-06-12,QLD,557.5182762086795
Rourke,Gillbard,1945-08-03,QLD,557.4853155595548
Marissa,O'Scandall,1973-07-13,VIC,557.4767911828791
Caritta,Compston,1958-04-25,VIC,557.4210622518693
Paxon,Roomes,1976-11-06,VIC,557.285025452332
Otes,Elegood,1940-11-25,NSW,557.2633824129438
Ricki,Padefield,1948-08-03,QLD,557.2617177931721
Nicolas,O'Donnell,1986-09-25,VIC,557.163092136282
Eleonora,Wiszniewski,1980-04-23,QLD,557.1451650806664
Jamal,Dudgeon,1965-02-09,VIC,557.0392170753986
Ashleigh,,1996-04-05,VIC,557.0074418624264
Jermaine,Bagshawe,1954-05-14,QLD,556.9785523862336
Evonne,Bembridge,1969-07-06,VIC,556.9744779893732
Amby,Bodega,1968-06-12,VIC,556.9083638853618
Evered,Gludor,1951-04-30,NSW,556.9060525401553
Art,Shardlow,1963-10-15,QLD,556.7987067145004
Celeste,Fretson,1980-09-16,NSW,556.7961006081878
Abner,Fraschetti,1986-01-23,VIC,556.7840579821897
Kelsey,Hatt,1966-06-27,VIC,556.7691924512136
Dawn,Pyffe,1965-05-28,VIC,556.7486534257497
Charmain,Styles,1965-02-25,VIC,556.6894312015104
Brooke,Arling,1961-12-05,VIC,556.6550972201507
Bertrando,Carass,1956-06-25,NSW,556.6391713481086
Krystyna,Airey,1950-09-05,QLD,556.6377286914778
Corrine,Baribal,1948-10-12,NSW,556.5568306011611
Maurizio,Comi,1996-05-30,NSW,556.5321926344051
Debby,Balmadier,1992-06-24,VIC,556.4765892977509
Nico,Chadwick,1953-05-24,VIC,556.4638456118781
Cletis,Longley,1996-07-01,VIC,556.4377701075083
Colas,Gabbitas,1946-09-09,NSW,556.4096287700652
Rozamond,Riha,1984-10-07,QLD,556.3530034097065
Harman,A'field,1960-12-27,QLD,556.2335878791729
Sibby,Skinner,1981-05-05,QLD,556.2099313299665
Brod,Attrey,1966-11-05,NSW,556.0839651150582
Monty,Thomazin,1951-09-16,VIC,556.0668124496932
Nilson,Wiggam,1996-02-15,VIC,556.0492414810657
Sile,Zappel,1958-03-29,QLD,555.9964915185651
Latrena,Yetts,1999-06-18,NSW,555.9955575840588
Renie,Laundon,1973-12-18,QLD,555.9946797370282
Benedikta,Naptin,1995-08-13,NSW,555.95549218249
Dennis,Varnham,1953-05-17,VIC,555.948970379959
Sherwin,Minocchi,1947-07-13,NSW,555.9361345540235
Hunfredo,Hayball,1994-04-15,NSW,555.8277788878454
Theresina,,1987-03-01,NSW,555.7481538284401
Guilbert,Bearns,1982-10-29,VIC,555.734357024652
Reiko,Degenhardt,1976-01-16,QLD,555.7123403328275
Verla,Dumingos,1971-09-18,VIC,555.7118043860262
Huberto,Mollatt,1961-08-27,NSW,555.7015025648626
Son,Varney,1993-11-02,NSW,555.6608757563064
Trudie,Phinnessy,1960-07-04,VIC,555.610314392717
Reginald,Jermy,1960-09-12,QLD,555.5929208038607
Zondra,Ringham,1948-01-13,QLD,555.5820838428841
Alano,Satchel,1998-11-26,NSW,555.554619403008
Cheston,Hritzko,1945-11-08,NSW,555.4748284767787
Philbert,Bangs,1966-03-03,QLD,555.4081653378161
Dimitri,Tribbeck,1958-12-07,VIC,555.3833661496433
Jodi,Lermit,1954-01-30,QLD,555.3734114666928
Gardiner,Gypps,1991-06-01,NSW,555.3513256281917
Launce,Gale,1939-01-15,NSW,555.2786835879368
Deirdre,Sturgeon,1965-12-22,NSW,555.2620482557375
Kit,Easdon,1978-10-26,VIC,555.2186991976708
Harwell,Kleinstein,1993-10-18,VIC,555.1759273261578
Bobby,Summersby,1943-10-27,VIC,555.1592116225543
Laurie,,1979-07-28,NSW,555.1565961710317
Hilario,McCulloch,1986-01-10,VIC,555.1341645942015
Levin,Coxen,1955-10-22,NSW,555.1263484402405
Virginia,De Antoni,1964-03-14,NSW,555.0822860817507
Hyman,Petrolli,1965-09-09,VIC,555.0518472825845
Lucky,Klainman,1947-11-26,VIC,555.0047153356757
Zebulen,Emtage,1963-09-01,QLD,554.9197272871298
Corene,Hallgate,1964-11-06,VIC,554.9159870416403
Juliana,Mitchenson,1989-01-05,QLD,554.9025002704853
Sonni,Milligan,1988-03-05,VIC,554.8887020159143
Felice,Dechelette,1998-02-05,QLD,554.859046663379
Rhodie,Gaskall,1964-02-01,QLD,554.8239855145908
Raleigh,Pont,1964-11-02,VIC,554.822484268555
Deborah,Petrovsky,1943-07-14,NSW,554.805699107993
Markus,Pendrey,1959-08-01,NSW,554.7394432926027
Rodolphe,Glenton,1974-09-28,VIC,554.7299818371046
Demott,Mullaly,1982-12-15,NSW,554.715360595002
Giralda,MacPeake,1941-04-04,NSW,554.6913709195761
Bartram,Caltun,1956-09-15,NSW,554.677745357539
Danny,Bodle,1943-09-24,NSW,554.6732088075286
Ludvig,Andren,1941-02-22,QLD,554.6230730242609
Otis,Ottey,1998-02-05,QLD,554.5510486251378
Giffie,Offill,1993-03-02,QLD,554.5466011660367
Shepherd,Dutchburn,1976-08-12,NSW,554.5371527307028
Art,Carolan,1954-11-09,NSW,554.4415417884295
Katie,Warhurst,1991-12-02,VIC,554.4142142806817
Jenny,Massy,1963-10-16,NSW,554.402337354723
Leonora,Swetenham,1967-10-05,NSW,554.3464437730612
Eugenie,Brinson,1963-08-10,VIC,554.2587224049023
Celestina,Lethardy,1968-12-11,VIC,554.1260091408349
Jeanne,Darte,1955-08-18,NSW,554.0704696665983
Ricki,Dobrowski,1975-03-10,NSW,554.0538973367419
Rosabelle,Godsmark,1995-10-19,QLD,553.9812776680478
Briant,Ladley,1979-12-17,NSW,553.9147808141386
Kizzee,Kemston,1961-09-29,NSW,553.8395227366191
Solomon,Bruck,1957-11-15,QLD,553.8278227316517
Marcelia,Copins,1946-03-15,NSW,553.824388854856
Terrence,Dalligan,1998-02-19,VIC,553.75276472363
Lanie,Cobbold,1978-12-31,NSW,553.6538770278667
Kori,Sparsholt,1940-05-19,NSW,553.637275783928
Alfi,Sabbins,1959-06-12,NSW,553.6173360448652
Anet,Roseman,1996-11-24,VIC,553.6103891650982
Yorgos,Dewhurst,1950-09-09,QLD,553.5814426830742
Marc,Keunemann,1972-09-04,NSW,553.5614531287194
Milty,Brauninger,1945-07-10,NSW,553.5180785910073
Aldric,Birney,1971-08-19,NSW,553.5063373395606
Cazzie,Stanwix,1960-10-01,QLD,553.4806180419962
Bill,,1963-04-24,NSW,553.4079658366508
Randall,Mason,1974-07-28,NSW,553.3965289189553
Rosemonde,Cartwight,1952-10-20,QLD,553.3861944196766
Jehu,Prestedge,1999-10-20,NSW,553.3656947828426
Raynard,,1996-04-13,QLD,553.3528102153882
Ellwood,Budden,1998-06-03,NSW,553.3347315198619
Gerianne,Kaysor,,NSW,553.2409761757318
Muffin,Bhar,1966-04-07,NSW,553.2363112570483
Elianora,Poolton,1944-06-14,VIC,553.2214467337998
Tabbatha,Averill,1977-12-17,NSW,553.1975800568257
Sharai,Priddie,1961-01-16,NSW,553.1053868378265
My,Chaston,1966-07-16,VIC,553.0939928038713
Nicol,Bertot,1977-09-11,VIC,553.0504085025104
Alick,Baise,1998-08-16,NSW,553.0354756781148
Regine,Bownes,1952-07-01,VIC,553.0312662434262
Gaston,Dallaghan,1993-09-29,NSW,553.0271311085847
Sinclair,Wark,1974-02-21,NSW,553.0208455986033
Rollo,Louedey,1946-07-09,NSW,552.9731832881205
Liane,Poizer,1952-05-05,NSW,552.9580191603155
Amabel,,1981-09-14,NSW,552.9396140660946
Flossy,Concannon,1980-10-20,VIC,552.861815666745
Francisca,Pottage,1957-06-10,NSW,552.8529072604654
Ceciley,Harg,1990-10-19,QLD,552.8414892996606
Afton,Andrassy,1998-10-14,VIC,552.8369280957227
Vivienne,Crayden,1988-09-18,QLD,552.7964733992884
Benoit,Harniman,1976-08-27,QLD,552.7920242140535
Frans,Idale,1969-10-03,QLD,552.7603698049805
Amil,Ennor,1995-08-04,VIC,552.7581950194847
Emeline,Vezey,1953-08-07,VIC,552.6988745128633
Dorian,Stollen,1980-02-16,NSW,552.6939582074208
Torry,de la Valette Parisot,1967-03-14,VIC,552.6644895571577
Chaim,Kingdon,1996-01-21,NSW,552.6115666627998
Audry,Fann,1957-10-17,VIC,552.5984039907131
Craggy,Happel,1979-02-10,VIC,552.5631034349157
Dorotea,Fenwick,1950-10-12,NSW,552.4975899791167
Irvine,Headon,1956-04-21,NSW,552.4809034348758
Arman,Yakubov,1977-10-07,NSW,552.4468510020592
Donn,Chaney,1951-01-29,QLD,552.416679298846
Rockwell,Matson,1995-01-01,QLD,552.3870392983486
Ajay,Worham,1979-09-30,NSW,552.3601506762795
Teddie,Burchill,1968-12-21,NSW,552.3213258538274
Claudell,Rounsefell,1993-11-27,QLD,552.3133109761915
Pietra,Buckleigh,1949-04-29,NSW,552.2479727346002
Vitia,Axtens,1945-08-08,NSW,552.1763694317996
Maddalena,Hencke,1952-12-09,QLD,552.1537729769573
Frederich,Glantz,1997-08-27,NSW,552.1279940116717
Ginger,,1939-02-19,NSW,552.1016308612888
Frederigo,Cribbott,1965-03-15,NSW,552.082372448143
Stephi,Highton,1987-09-09,NSW,552.0714919507625
Adriana,Saundercock,,VIC,552.04026194858
Debbie,Tillman,1990-07-06,QLD,552.0372122072894
Sharron,Claibourn,1980-01-26,NSW,552.0220772282273
Sylas,Duffill,1955-10-02,NSW,551.9792180611729
Angele,Cadore,1954-09-06,QLD,551.9204569622841
Park,,1977-11-08,QLD,551.918326821124
Darryl,Hovee,1944-04-28,NSW,551.8931207721457
Consalve,Ballay,1959-09-18,NSW,551.8851118780793
Kylynn,Drowsfield,1975-03-28,VIC,551.8630948997961
Kylila,Basezzi,1945-06-11,QLD,551.8006549248985
Parnell,Lamprey,1977-04-08,NSW,551.7543443401828
Maris,Leete,1973-04-14,QLD,551.7522869791696
Hagen,MacCarter,1983-02-08,VIC,551.7165908207202
Tedra,Goodbanne,1978-01-15,VIC,551.671557839445
Beverly,Domnick,1938-12-10,NSW,551.6547385016072
Pierrette,Gummie,1966-08-04,VIC,551.6465618304027
Welby,Lourenco,1975-12-27,NSW,551.6405583308529
Petr,Westman,1987-11-02,QLD,551.547416806813
Inglis,Pickaver,1994-06-25,NSW,551.5368666043008
Nils,Champion,1984-07-06,NSW,551.5093471880411
Meade,McReedy,1968-11-23,NSW,551.5010680533765
Andy,Deeming,1979-01-09,QLD,551.4842882332337
Roddy,Rubinshtein,1987-10-08,QLD,551.4735182951251
Claresta,MacConnulty,1957-10-01,NSW,551.3815444108684
Sybilla,MacCart,1987-01-15,NSW,551.376141748293
Jethro,Mertel,1978-12-10,NSW,551.3587673536957
Denys,Minshall,1961-12-26,NSW,551.3388531532531
Erasmus,Olenchenko,1965-02-03,NSW,551.3141975836623
Truman,Arlett,1958-06-25,NSW,551.2983840373464
Cammy,Stoneham,1963-05-02,QLD,551.2964835155198
Nady,Withinshaw,1968-02-17,QLD,551.2464578769568
Perry,Whitehurst,1980-05-29,VIC,551.2026916096179
Queenie,Learie,1948-01-24,NSW,551.2021924756433
Dyane,Burwell,1952-06-27,NSW,550.994088568938
Glory,Chilcott,1939-09-09,QLD,550.9783591395494
Odilia,Quick,1938-11-09,NSW,550.94554166915
Dallas,Lavalde,1998-12-19,NSW,550.9055342519921
Lissa,Gawn,1962-09-21,QLD,550.8785498413393
Fredia,Favelle,1974-08-29,QLD,550.8400056642271
Ross,Vidgen,1947-12-28,QLD,550.7237884902951
Wyndham,Woolford,1979-10-22,VIC,550.7153798210616
Boothe,Hayselden,1940-05-18,NSW,550.5830817090077
Fara,Sarath,1948-06-30,NSW,550.5269156391859
Mariette,,1956-07-05,NSW,550.5176160961424
Calida,Schaben,1969-03-06,NSW,550.5027569373434
Bevvy,Openshaw,1975-06-15,NSW,550.4938467285851
Josepha,Clamp,1961-11-03,NSW,550.487023681366
Carry,Costi,1972-11-26,NSW,550.477144593458
Georgi,,1970-01-14,VIC,550.4273480311605
Roldan,Raybould,1975-11-18,VIC,550.4181598158024
Salomon,Perkins,1998-01-12,NSW,550.4085937949939
Carroll,Schlagman,1951-08-25,NSW,550.3880166223065
Cami,Eitter,1979-01-03,VIC,550.357247642731
Mycah,Beaston,1961-07-31,NSW,550.3243452644845
Aloysius,Killingsworth,1957-02-14,NSW,550.3068318375588
Sibylla,Kibble,1962-08-05,NSW,550.2784934210158
Kaine,Smallcombe,1942-02-06,NSW,550.2408004742576
Renate,Whyte,1963-12-08,NSW,550.2052897595672
Skippie,Yearsley,1956-09-04,QLD,550.1511458142185
Hedwig,Jayme,1952-08-21,NSW,550.1345420744681
Gerri,Schimann,1969-11-17,NSW,550.1131720618976
Ossie,Midden,1950-02-10,NSW,550.0260136269433
Clemmie,Bartoszewicz,1958-07-28,VIC,549.9139939434389
Orly,Nesbitt,1985-03-25,VIC,549.9104315159949
Archibald,Blessed,1969-02-10,NSW,549.8910704811676
Cissiee,Pollington,1941-07-21,NSW,549.8758789067707
Geoff,Gwillym,1999-02-22,NSW,549.8434345640179
Sigismund,Sedger,1999-11-29,NSW,549.8386393680032
Zabrina,Margram,1964-05-15,QLD,549.8118321698591
Anthony,Lindstrom,1997-11-01,NSW,549.6771109815929
Ahmed,Pickthorne,1959-12-25,NSW,549.6770142750229
Dominick,Asher,1962-10-06,VIC,549.6758294646145
